AsrClassCode,AsrLandUse1,AsrLanduse2,ColCityBlock,ColParcelId,ColParcel,HANDLE,HighAddrNum,HighAddrSuf,LowAddrNum,LowAddrSuf,NBRHD,ParcelId,SITEADDR,StdUnitNum,StName,StPreDir,StSufDir,StType,ZIP
100,1110,0,39100,03910001600,1600,10391000160,1528,,1528,,34,03919160000,"1528 MENARD ST",,MENARD,,,ST,63104
100,1111,0,40300,04030002750,2750,10403000275,1631,,1617,,34,04039275000,"1617 S 11TH ST",,11TH,S,,ST,63104
200,5000,0,44800,04480000100,100,10448000010,1560,,1560,,36,04489010000,"1560 PAPIN ST",,PAPIN,,,ST,63103
100,1110,0,46603,04660301910,1910,10466030191,915,,915,,34,04669085000,"915 RUTGER ST",,RUTGER,,,ST,63104
200,5000,0,50600,05060000100,100,10506000010,1432,,1430,,36,05069010000,"1430 OLIVE ST",,OLIVE,,,ST,63103
200,5000,0,59600,05960001800,1800,10596000180,1515,,1511,,60,05969180000,"1511 CASS AV",,CASS,,,AV,63106
100,1124,0,68100,06810001600,1600,10681000160,2005,,2005,,21,06819160000,"2005 MENARD ST",,MENARD,,,ST,63104
200,3000,0,76900,07690001100,1100,10769000110,2800,,2800,,20,07699110000,"2800 S 2ND ST",,2ND,S,,ST,63118
100,1110,0,81100,08110001950,1950,10811000195,1226,,1226,,21,08119195000,"1226 SIDNEY ST",,SIDNEY,,,ST,63104
200,5000,0,92690,09269010002,10002,10926000011,2699,,2601,,37,09269010002,"2601 MARKET ST",,MARKET,,,ST,63103
100,1010,0,104300,10430000100,100,11043000010,3338,,3338,,77,10439010000,"3338 WASHINGTON BLVD",,WASHINGTON,,,BLVD,63103
49,5000,0,112900,11290001300,1300,11129000130,1309,,1309,,63,11299130000,"1309 SULLIVAN AV",,SULLIVAN,,,AV,63107
100,1110,0,130300,13030000700,700,11303000070,3134,,3134,,26,13039070000,"3134 GEYER AV",,GEYER,,,AV,63104
14,1010,0,131300,13130000300,300,11313000030,1822,,1822,,24,13139030000,"1822 OREGON AV",,OREGON,,,AV,63104
100,1110,0,133900,13390000300,300,11339000030,2022,,2022,,23,13399030000,"2022 ALLEN AV",,ALLEN,,,AV,63104
100,1110,0,136800,13680000300,300,11368000030,3506,,3506,,26,13689030000,"3506 HAWTHORNE BLVD",,HAWTHORNE,,,BLVD,63104
100,1120,0,137900,13790001500,1500,11379000150,2714,,2714,,24,13799150000,"2714 ACCOMAC ST",,ACCOMAC,,,ST,63104
100,1110,0,141900,14190004400,4400,11419000440,2863,,2863,,22,14199440000,"2863 MISSOURI AV",,MISSOURI,,,AV,63118
100,1110,0,146200,14620002000,2000,11462000200,3517,,3517,,25,14629200000,"3517 HARTFORD ST",,HARTFORD,,,ST,63118
100,1110,0,148000,14800000500,500,11480000050,3166,,3166,,25,14809050000,"3166 S COMPTON AV",,COMPTON,S,,AV,63118
100,1120,0,148800,14880000800,800,11488000080,3518,,3516,,25,14889080000,"3516 WYOMING ST",,WYOMING,,,ST,63118
100,1010,0,151600,15160001500,1500,11516000150,2712,,2712,,30,15169150000,"2712 WYOMING ST",,WYOMING,,,ST,63118
100,1140,0,155100,15510000460,460,11551000046,1954,,1952,,18,15519046000,"1952 CHEROKEE ST",,CHEROKEE,,,ST,63118
100,1140,0,155600,15560003300,3300,11556000330,3550,,3548,,18,15569330000,"3548 MISSOURI AV",,MISSOURI,,,AV,63118
200,5140,0,156500,15650001907,1907,11565000190,2632,,2632,,19,15659190000,"2632 CHEROKEE ST",,CHEROKEE,,,ST,63118
100,1126,0,161200,16120001300,1300,11612000130,3426,,3424,,19,16129130000,"3424 MIAMI ST",,MIAMI,,,ST,63118
